Name,Template,Reference,Type
p2p-overlay+xml,application/p2p-overlay+xml,[RFC6940],application
parityfec,application/parityfec,[RFC3009],application
passport,application/passport,[RFC8225],application
patch-ops-error+xml,application/patch-ops-error+xml,[RFC5261],application
pdf,application/pdf,[RFC8118],application
PDX,application/PDX,[ASAM][Thomas_Thomsen],application
pem-certificate-chain,application/pem-certificate-chain,[RFC8555],application
pgp-encrypted,application/pgp-encrypted,[RFC3156],application
pgp-keys,application/pgp-keys,[RFC3156],application
pgp-signature,application/pgp-signature,[RFC3156],application
pidf-diff+xml,application/pidf-diff+xml,[RFC5262],application
pidf+xml,application/pidf+xml,[RFC3863],application
pkcs10,application/pkcs10,[RFC5967],application
pkcs7-mime,application/pkcs7-mime,[RFC8551][RFC7114],application
pkcs7-signature,application/pkcs7-signature,[RFC8551],application
pkcs8,application/pkcs8,[RFC5958],application
pkcs8-encrypted,application/pkcs8-encrypted,[RFC8351],application
pkcs12,application/pkcs12,[IETF],application
pkix-attr-cert,application/pkix-attr-cert,[RFC5877],application
pkix-cert,application/pkix-cert,[RFC2585],application
pkix-crl,application/pkix-crl,[RFC2585],application
pkix-pkipath,application/pkix-pkipath,[RFC6066],application
pkixcmp,application/pkixcmp,[RFC2510],application
pls+xml,application/pls+xml,[RFC4267],application
poc-settings+xml,application/poc-settings+xml,[RFC4354],application
postscript,application/postscript,[RFC2045][RFC2046],application
ppsp-tracker+json,application/ppsp-tracker+json,[RFC7846],application
problem+json,application/problem+json,[RFC7807],application
problem+xml,application/problem+xml,[RFC7807],application
provenance+xml,application/provenance+xml,[W3C][Ivan_Herman],application
prs.alvestrand.titrax-sheet,application/prs.alvestrand.titrax-sheet,[Harald_T._Alvestrand],application
prs.cww,application/prs.cww,[Khemchart_Rungchavalnont],application
prs.cyn,application/prs.cyn,[Cynthia_Revström],application
prs.hpub+zip,application/prs.hpub+zip,[Giulio_Zambon],application
prs.nprend,application/prs.nprend,[Jay_Doggett],application
prs.plucker,application/prs.plucker,[Bill_Janssen],application
prs.rdf-xml-crypt,application/prs.rdf-xml-crypt,[Toby_Inkster],application
prs.xsf+xml,application/prs.xsf+xml,[Maik_Stührenberg],application
pskc+xml,application/pskc+xml,[RFC6030],application
pvd+json,application/pvd+json,[RFC8801],application
rdf+xml,application/rdf+xml,[RFC3870],application
route-apd+xml,application/route-apd+xml,[ATSC],application
route-s-tsid+xml,application/route-s-tsid+xml,[ATSC],application
route-usd+xml,application/route-usd+xml,[ATSC],application
QSIG,application/QSIG,[RFC3204],application
raptorfec,application/raptorfec,[RFC6682],application
rdap+json,application/rdap+json,[RFC-ietf-regext-rfc7483bis-05],application
reginfo+xml,application/reginfo+xml,[RFC3680],application
relax-ng-compact-syntax,application/relax-ng-compact-syntax,[http://www.jtc1sc34.org/repository/0661.pdf],application
remote-printing,application/remote-printing,[RFC1486][Marshall_Rose],application
reputon+json,application/reputon+json,[RFC7071],application
resource-lists-diff+xml,application/resource-lists-diff+xml,[RFC5362],application
resource-lists+xml,application/resource-lists+xml,[RFC4826],application
rfc+xml,application/rfc+xml,[RFC7991],application
riscos,application/riscos,[Nick_Smith],application
rlmi+xml,application/rlmi+xml,[RFC4662],application
rls-services+xml,application/rls-services+xml,[RFC4826],application
rpki-ghostbusters,application/rpki-ghostbusters,[RFC6493],application
rpki-manifest,application/rpki-manifest,[RFC6481],application
rpki-publication,application/rpki-publication,[RFC8181],application
rpki-roa,application/rpki-roa,[RFC6481],application
rpki-updown,application/rpki-updown,[RFC6492],application
rtf,application/rtf,[Paul_Lindner],application
rtploopback,application/rtploopback,[RFC6849],application
rtx,application/rtx,[RFC4588],application
samlassertion+xml,application/samlassertion+xml,[OASIS_Security_Services_Technical_Committee_SSTC],application
samlmetadata+xml,application/samlmetadata+xml,[OASIS_Security_Services_Technical_Committee_SSTC],application
sarif-external-properties+json,application/sarif-external-properties+json,[OASIS][David_Keaton][Michael_C._Fanning],application
sarif+json,application/sarif+json,[OASIS][Michael_C._Fanning][Laurence_J._Golding],application
sbe,application/sbe,[FIX_Trading_Community][Donald_L._Mendelson],application
sbml+xml,application/sbml+xml,[RFC3823],application
scaip+xml,application/scaip+xml,[SIS][Oskar_Jonsson],application
scim+json,application/scim+json,[RFC7644],application
scvp-cv-request,application/scvp-cv-request,[RFC5055],application
scvp-cv-response,application/scvp-cv-response,[RFC5055],application
scvp-vp-request,application/scvp-vp-request,[RFC5055],application
scvp-vp-response,application/scvp-vp-response,[RFC5055],application
sdp,application/sdp,[RFC8866],application
secevent+jwt,application/secevent+jwt,[RFC8417],application
senml-etch+cbor,application/senml-etch+cbor,[RFC8790],application
senml-etch+json,application/senml-etch+json,[RFC8790],application
senml-exi,application/senml-exi,[RFC8428],application
senml+cbor,application/senml+cbor,[RFC8428],application
senml+json,application/senml+json,[RFC8428],application
senml+xml,application/senml+xml,[RFC8428],application
sensml-exi,application/sensml-exi,[RFC8428],application
sensml+cbor,application/sensml+cbor,[RFC8428],application
sensml+json,application/sensml+json,[RFC8428],application
sensml+xml,application/sensml+xml,[RFC8428],application
sep-exi,application/sep-exi,[Robby_Simpson][ZigBee],application
sep+xml,application/sep+xml,[Robby_Simpson][ZigBee],application
session-info,application/session-info,[_3GPP][Frederic_Firmin],application
set-payment,application/set-payment,[Brian_Korver],application
set-payment-initiation,application/set-payment-initiation,[Brian_Korver],application
set-registration,application/set-registration,[Brian_Korver],application
set-registration-initiation,application/set-registration-initiation,[Brian_Korver],application
SGML,application/SGML,[RFC1874],application
sgml-open-catalog,application/sgml-open-catalog,[Paul_Grosso],application
shf+xml,application/shf+xml,[RFC4194],application
sieve,application/sieve,[RFC5228],application
simple-filter+xml,application/simple-filter+xml,[RFC4661],application
simple-message-summary,application/simple-message-summary,[RFC3842],application
simpleSymbolContainer,application/simpleSymbolContainer,[_3GPP],application
sipc,application/sipc,[NCGIS][Bryan_Blank],application
slate,application/slate,[Terry_Crowley],application
smil+xml,application/smil+xml,[RFC4536],application
smpte336m,application/smpte336m,[RFC6597],application
soap+fastinfoset,application/soap+fastinfoset,[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC1_SC6_ASN.1_Rapporteur],application
soap+xml,application/soap+xml,[RFC3902],application
sparql-query,application/sparql-query,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType],application
sparql-results+xml,application/sparql-results+xml,[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime],application
spirits-event+xml,application/spirits-event+xml,[RFC3910],application
sql,application/sql,[RFC6922],application
srgs,application/srgs,[RFC4267],application
srgs+xml,application/srgs+xml,[RFC4267],application
sru+xml,application/sru+xml,[RFC6207],application
ssml+xml,application/ssml+xml,[RFC4267],application
stix+json,application/stix+json,[OASIS][Chet_Ensign],application
swid+xml,application/swid+xml,[ISO-IEC_JTC1][David_Waltermire][Ron_Brill],application
tamp-apex-update,application/tamp-apex-update,[RFC5934],application
tamp-apex-update-confirm,application/tamp-apex-update-confirm,[RFC5934],application
tamp-community-update,application/tamp-community-update,[RFC5934],application
tamp-community-update-confirm,application/tamp-community-update-confirm,[RFC5934],application
tamp-error,application/tamp-error,[RFC5934],application
tamp-sequence-adjust,application/tamp-sequence-adjust,[RFC5934],application
tamp-sequence-adjust-confirm,application/tamp-sequence-adjust-confirm,[RFC5934],application
tamp-status-query,application/tamp-status-query,[RFC5934],application
tamp-status-response,application/tamp-status-response,[RFC5934],application
tamp-update,application/tamp-update,[RFC5934],application
tamp-update-confirm,application/tamp-update-confirm,[RFC5934],application
taxii+json,application/taxii+json,[OASIS][Chet_Ensign],application
td+json,application/td+json,[W3C][Matthias_Kovatsch],application
tei+xml,application/tei+xml,[RFC6129],application
TETRA_ISI,application/TETRA_ISI,[ETSI][Miguel_Angel_Reina_Ortega],application
thraud+xml,application/thraud+xml,[RFC5941],application
timestamp-query,application/timestamp-query,[RFC3161],application
timestamp-reply,application/timestamp-reply,[RFC3161],application
timestamped-data,application/timestamped-data,[RFC5955],application
tlsrpt+gzip,application/tlsrpt+gzip,[RFC8460],application
tlsrpt+json,application/tlsrpt+json,[RFC8460],application
tnauthlist,application/tnauthlist,[RFC8226],application
trickle-ice-sdpfrag,application/trickle-ice-sdpfrag,[RFC8840],application
trig,application/trig,[W3C][W3C_RDF_Working_Group],application
ttml+xml,application/ttml+xml,[W3C][W3C_Timed_Text_Working_Group],application
tve-trigger,application/tve-trigger,[Linda_Welsh],application
tzif,application/tzif,[RFC8536],application
tzif-leap,application/tzif-leap,[RFC8536],application
ulpfec,application/ulpfec,[RFC5109],application
urc-grpsheet+xml,application/urc-grpsheet+xml,[Gottfried_Zimmermann][ISO-IEC_JTC1],application
urc-ressheet+xml,application/urc-ressheet+xml,[Gottfried_Zimmermann][ISO-IEC_JTC1],application
urc-targetdesc+xml,application/urc-targetdesc+xml,[Gottfried_Zimmermann][ISO-IEC_JTC1],application
urc-uisocketdesc+xml,application/urc-uisocketdesc+xml,[Gottfried_Zimmermann],application
vcard+json,application/vcard+json,[RFC7095],application
vcard+xml,application/vcard+xml,[RFC6351],application
vemmi,application/vemmi,[RFC2122],application
vnd.1000minds.decision-model+xml,application/vnd.1000minds.decision-model+xml,[Franz_Ombler],application
vnd.3gpp.5gnas,application/vnd.3gpp.5gnas,[_3GPP][Jones_Lu_Yunjie],application
vnd.3gpp.access-transfer-events+xml,application/vnd.3gpp.access-transfer-events+xml,[Frederic_Firmin],application
vnd.3gpp.bsf+xml,application/vnd.3gpp.bsf+xml,[John_M_Meredith],application
vnd.3gpp.GMOP+xml,application/vnd.3gpp.GMOP+xml,[Frederic_Firmin],application
vnd.3gpp.gtpc,application/vnd.3gpp.gtpc,[_3GPP][Yang_Yong],application
vnd.3gpp.interworking-data,application/vnd.3gpp.interworking-data,[Frederic_Firmin],application
vnd.3gpp.lpp,application/vnd.3gpp.lpp,[_3GPP][Jones_Lu_Yunjie],application
vnd.3gpp.mc-signalling-ear,application/vnd.3gpp.mc-signalling-ear,[Tim_Woodward],application
vnd.3gpp.mcdata-affiliation-command+xml,application/vnd.3gpp.mcdata-affiliation-command+xml,[Frederic_Firmin],application
vnd.3gpp.mcdata-info+xml,application/vnd.3gpp.mcdata-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcdata-payload,application/vnd.3gpp.mcdata-payload,[Frederic_Firmin],application
vnd.3gpp.mcdata-service-config+xml,application/vnd.3gpp.mcdata-service-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcdata-signalling,application/vnd.3gpp.mcdata-signalling,[Frederic_Firmin],application
vnd.3gpp.mcdata-ue-config+xml,application/vnd.3gpp.mcdata-ue-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcdata-user-profile+xml,application/vnd.3gpp.mcdata-user-profile+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-affiliation-command+xml,application/vnd.3gpp.mcptt-affiliation-command+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-floor-request+xml,application/vnd.3gpp.mcptt-floor-request+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-info+xml,application/vnd.3gpp.mcptt-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-location-info+xml,application/vnd.3gpp.mcptt-location-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-mbms-usage-info+xml,application/vnd.3gpp.mcptt-mbms-usage-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-service-config+xml,application/vnd.3gpp.mcptt-service-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-signed+xml,application/vnd.3gpp.mcptt-signed+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-ue-config+xml,application/vnd.3gpp.mcptt-ue-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-ue-init-config+xml,application/vnd.3gpp.mcptt-ue-init-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcptt-user-profile+xml,application/vnd.3gpp.mcptt-user-profile+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-affiliation-command+xml,application/vnd.3gpp.mcvideo-affiliation-command+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-info+xml,application/vnd.3gpp.mcvideo-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-location-info+xml,application/vnd.3gpp.mcvideo-location-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-mbms-usage-info+xml,application/vnd.3gpp.mcvideo-mbms-usage-info+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-service-config+xml,application/vnd.3gpp.mcvideo-service-config+xml,[Frederic_Firmin],application
vnd.3gpp.mcvideo-transmission-request+xml,application/vnd.3gpp.mcvideo-transmission-request+xml,[Frederic_Firmin],application
